,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_なら分権の会,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_地域政党 やまとの会,得票数_地域政党やまとの会,得票数_奈良維新の会,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_根っこから真改革,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_生駒維新の会,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_なら分権の会,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_地域政党 やまとの会,得票率_地域政党やまとの会,得票率_奈良維新の会,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_根っこから真改革,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_生駒維新の会,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_なら分権の会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党 やまとの会,一人あたり得票率_地域政党やまとの会,一人あたり得票率_奈良維新の会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_根っこから真改革,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_生駒維新の会,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_なら分権の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党 やまとの会,立候補者数_地域政党やまとの会,立候補者数_奈良維新の会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_根っこから真改革,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_生駒維新の会,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_なら分権の会,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党 やまとの会,当選者数_地域政党やまとの会,当選者数_奈良維新の会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_根っこから真改革,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_生駒維新の会,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
下北山村議会議員選挙（2011年04月24日投票）,下北山村議会議員選挙,奈良県,下北山村,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,8.0,8.0,1.0,1003.0,,,-87.0,任期満了,92.39,,,,下北山村議会議員選挙（2011年04月24日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.25,0.125,0.625,0.25,0.125,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
下北山村議会議員選挙（2015年04月26日投票）,下北山村議会議員選挙,奈良県,下北山村,20150426.0,2015.0,4.0,26.0,20150421.0,,8.0,9.0,1.125,,,,,任期満了,,,,,下北山村議会議員選挙（2015年04月26日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.875,0.125,0.0,0.9040590405904059,0.0959409594095941,,0.11300738007380073,0.0959409594095941,,813.0,1.0,61.55555555555556,10.510429858120416,34.0,63.0,66.0,68.0,69.0,60.75,10.882899429839458,34.0,61.0,65.5,66.5,69.0,,,,,,,,,,,,,,,,,813.0,,,,,,813.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
下北山村議会議員選挙（2019年04月21日投票）,下北山村議会議員選挙,奈良県,下北山村,20190421.0,2019.0,4.0,21.0,20190416.0,,8.0,9.0,1.125,,,,,任期満了,,,,,下北山村議会議員選挙（2019年04月21日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.75,0.25,0.0,0.731081081081081,0.2689189189189189,,0.10444015444015443,0.13445945945945945,,740.0,1.0,63.77777777777778,10.809232450680275,38.0,62.0,69.0,70.0,73.0,63.0,11.224972160321824,38.0,59.75,68.0,70.5,73.0,,,,,,,,,,,,,,,,,740.0,,,,,,740.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
下市町議会議員補欠選挙（2012年11月11日投票）,下市町議会議員補欠選挙,奈良県,下市町,20121111.0,2012.0,11.0,11.0,20121106.0,81.45,2.0,3.0,1.5,5665.0,,,,その他,,,,,下市町議会議員補欠選挙（2012年11月11日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,4403.0,1.0,50.666666666666664,14.055445761538676,31.0,44.5,58.0,60.5,63.0,44.5,13.5,31.0,37.75,44.5,51.25,58.0,,,,,,,,,,,,,,,,,4403.0,,,,,,4403.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
下市町議会議員選挙（2007年04月22日投票）,下市町議会議員選挙,奈良県,下市町,20070422.0,2007.0,4.0,22.0,20070417.0,84.39,10.0,11.0,1.1,6354.0,,,,任期満了,,,,,下市町議会議員選挙（2007年04月22日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.7361373066767257,0.2638626933232742,,0.09201716333459072,0.08795423110775807,,5302.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,402.0,,,,,,,4900.0,,,,,,5302.0,,,,,,,,,,0.07582044511505093,,,,,,,0.9241795548849491,,,,,,1.0,,,,,,,,,,0.07582044511505093,,,,,,,0.09241795548849491,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,
下市町議会議員選挙（2011年04月24日投票）,下市町議会議員選挙,奈良県,下市町,20110424.0,2011.0,4.0,24.0,20110419.0,79.27,10.0,11.0,1.1,5871.0,,,-483.0,任期満了,84.39,,,,下市町議会議員選挙（2011年04月24日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.730610471431675,0.269389528568325,,0.09132630892895938,0.089796509522775,,4603.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,337.0,,,,,,,4266.0,,,,,,4603.0,,,,,,,,,,0.07321312187703671,,,,,,,0.9267868781229632,,,,,,1.0,,,,,,,,,,0.07321312187703671,,,,,,,0.09267868781229632,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,
下市町議会議員選挙（2015年04月26日投票）,下市町議会議員選挙,奈良県,下市町,20150426.0,2015.0,4.0,26.0,20150421.0,82.63,8.0,11.0,1.375,5326.0,,,-545.0,任期満了,79.27,,,,下市町議会議員選挙（2015年04月26日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.75,0.25,0.0,0.6430053007605439,0.3569946992394561,,0.09185790010864912,0.08924867480986402,,4339.0,2.0,58.0,10.929526314280297,33.0,52.5,60.0,64.0,73.0,58.25,11.934718262280011,33.0,52.75,60.0,65.25,73.0,,,,,,,,,,385.0,,,,,,,3954.0,,,,,,4339.0,,,,,,,,,,0.08873012214796036,,,,,,,0.9112698778520396,,,,,,1.0,,,,,,,,,,0.08873012214796036,,,,,,,0.09112698778520396,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,
下市町議会議員選挙（2019年04月21日投票）,下市町議会議員選挙,奈良県,下市町,20190421.0,2019.0,4.0,21.0,20190416.0,76.87,8.0,9.0,1.125,4873.0,,,-453.0,任期満了,82.63,,,,下市町議会議員選挙（2019年04月21日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.625,0.375,0.0,0.5712742980561555,0.38093952483801297,0.04778617710583153,0.1142548596112311,0.12697984161267098,0.04778617710583153,3704.0,2.0,61.22222222222222,5.769224438109853,51.0,57.0,64.0,66.0,69.0,62.5,4.769696007084728,56.0,57.0,64.0,66.25,69.0,,,,,,,,,,409.0,,,,,,,3295.0,,,,,,3704.0,,,,,,,,,,0.11042116630669546,,,,,,,0.8895788336933045,,,,,,1.0,,,,,,,,,,0.11042116630669546,,,,,,,0.11119735421166306,,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,
五條市議会議員補欠選挙（2006年05月21日投票）,五條市議会議員補欠選挙,奈良県,五條市,20060521.0,2006.0,5.0,21.0,20060514.0,93.7,1.0,2.0,2.0,508.0,,,,その他,,,,,五條市議会議員補欠選挙（2006年05月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,467.0,1.0,60.0,5.0,55.0,57.5,60.0,62.5,65.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,467.0,,,,,,467.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
五條市議会議員選挙（2005年11月20日投票）,五條市議会議員選挙,奈良県,五條市,20051120.0,2005.0,11.0,20.0,20051113.0,77.58,0.0,25.0,,31017.0,,,,その他,,,,,五條市議会議員選挙（2005年11月20日投票）,3.0,25.0,21.0,1.1904761904761905,0.0,0.0,0.0,0.08,0.047619047619047616,0.72,0.24,0.04,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.8119346003817745,0.14856004647688606,0.03950535314133953,0.045107477798987466,0.024760007746147675,0.03950535314133953,24098.0,4.0,60.32,7.357825765808811,44.0,56.0,59.0,65.0,75.0,60.57142857142857,7.054694003498181,44.0,56.0,59.0,65.0,75.0,,,,1846.0,,,,,,1102.0,,,,,,,16119.0,,,,,5031.0,24098.0,,,,0.07660386754087477,,,,,,0.045729936094281685,,,,,,,0.6688936841231637,,,,,0.2087725122416798,1.0,,,,0.07660386754087477,,,,,,0.045729936094281685,,,,,,,0.03716076022906465,,,,,0.041754502448335964,,,,1.0,,,,,,1.0,,,,,,,18.0,,,,,5.0,,,,1.0,,,,,,1.0,,,,,,,15.0,,,,,4.0
五條市議会議員選挙（2009年11月15日投票）,五條市議会議員選挙,奈良県,五條市,20091115.0,2009.0,11.0,15.0,20091108.0,75.19,15.0,18.0,1.2,29832.0,,,-1185.0,任期満了,77.58,,,,五條市議会議員選挙（2009年11月15日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.05555555555555555,0.06666666666666667,0.6111111111111112,0.3888888888888889,0.0,0.7333333333333333,0.26666666666666666,0.0,0.6810911985444622,0.31890880145553785,,0.0619173816858602,0.04555840020793398,,21985.0,5.0,62.05555555555556,7.742180443821452,44.0,59.25,62.5,66.75,75.0,61.46666666666667,8.285462503016285,44.0,57.5,62.0,66.5,75.0,,,,1860.0,,,,,,1222.79,,,,822.0,,,16163.21,,,,,1917.0,21985.0,,,,0.08460313850352513,,,,,,0.055619285876734134,,,,0.03738912895155788,,,0.7351926313395497,,,,,0.08719581532863316,1.0,,,,0.08460313850352513,,,,,,0.055619285876734134,,,,0.03738912895155788,,,0.05655327933381152,,,,,0.04359790766431658,,,,1.0,,,,,,1.0,,,,1.0,,,13.0,,,,,2.0,,,,1.0,,,,,,1.0,,,,0.0,,,11.0,,,,,2.0
五條市議会議員選挙（2013年11月17日投票）,五條市議会議員選挙,奈良県,五條市,20131117.0,2013.0,11.0,17.0,20131110.0,73.83,12.0,17.0,1.4166666666666667,,,,,任期満了,75.19,,,,五條市議会議員選挙（2013年11月17日投票）,1.0,17.0,12.0,1.4166666666666667,0.0,0.0,0.0,0.11764705882352941,0.0,0.4117647058823529,0.5882352941176471,0.0,0.4166666666666667,0.5833333333333334,0.0,0.40576674913889293,0.5942332508611071,,0.05796667844841328,0.059423325086110715,,20613.0,4.0,58.35294117647059,8.751075069892426,35.0,52.0,60.0,64.0,70.0,55.25,8.387739067631198,35.0,50.0,57.0,61.5,66.0,,,,1672.0,,,,,,1101.0,,,,,,,15347.93,,,,,2492.0699999999997,20613.0,,,,0.08111386018531995,,,,,,0.0534128947751419,,,,,,,0.7445752680347354,,,,,0.12089797700480279,1.0,,,,0.08111386018531995,,,,,,0.0534128947751419,,,,,,,0.05727502061805657,,,,,0.06044898850240139,,,,1.0,,,,,,1.0,,,,,,,13.0,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,8.0,,,,,2.0
五條市議会議員選挙（2017年11月19日投票）,五條市議会議員選挙,奈良県,五條市,20171119.0,2017.0,11.0,19.0,20171112.0,,12.0,18.0,1.5,27158.0,,,,任期満了,73.83,,,,五條市議会議員選挙（2017年11月19日投票）,1.0,18.0,12.0,1.5,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.7547948141005036,0.18525661630772527,0.05994856959177113,0.06861771037277306,0.030876102717954212,0.05994856959177113,18666.0,0.0,57.166666666666664,10.10088004966784,36.0,52.0,58.0,64.75,73.0,58.666666666666664,8.825468196582484,39.0,53.5,61.0,65.5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十津川村議会議員補欠選挙（2009年04月19日投票）,十津川村議会議員補欠選挙,奈良県,十津川村,20090419.0,2009.0,4.0,19.0,20090414.0,90.93,1.0,3.0,3.0,3560.0,,,,その他,,,,,十津川村議会議員補欠選挙（2009年04月19日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,3000.0,1.0,58.333333333333336,15.965240019770729,38.0,49.0,60.0,68.5,77.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,3000.0,,,,,,3000.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
十津川村議会議員補欠選挙（2014年11月23日投票）,十津川村議会議員補欠選挙,奈良県,十津川村,20141123.0,2014.0,11.0,23.0,20141118.0,69.13,2.0,3.0,1.5,,,,,その他,90.93,,,,十津川村議会議員補欠選挙（2014年11月23日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,2018.0,1.0,50.333333333333336,15.107025591499546,29.0,44.5,60.0,61.0,62.0,61.0,1.0,60.0,60.5,61.0,61.5,62.0,,,,,,,,,,,,,,,,,2018.0,,,,,,2018.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
十津川村議会議員選挙（1999年04月25日投票）,十津川村議会議員選挙,奈良県,十津川村,19990425.0,1999.0,4.0,25.0,19990420.0,94.46,16.0,20.0,1.25,4168.0,,,,任期満了,,,,,十津川村議会議員選挙（1999年04月25日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.05,0.0625,0.6,0.25,0.15,0.625,0.25,0.125,0.6044546850998463,0.24987199180747569,0.14567332309267794,0.05037122375832053,0.049974398361495136,0.04855777436422598,3906.0,2.0,62.4,8.963258336118624,44.0,59.25,64.5,67.25,75.0,62.1875,8.582094368509356,44.0,59.25,64.5,67.0,75.0,,,,206.0,,,,,,,,,,,,,3700.0,,,,,,3906.0,,,,0.05273937532002048,,,,,,,,,,,,,0.9472606246799795,,,,,,1.0,,,,0.05273937532002048,,,,,,,,,,,,,0.04985582235157787,,,,,,,,,1.0,,,,,,,,,,,,,19.0,,,,,,,,,1.0,,,,,,,,,,,,,15.0,,,,,
十津川村議会議員選挙（2003年04月27日投票）,十津川村議会議員選挙,奈良県,十津川村,20030427.0,2003.0,4.0,27.0,20030422.0,90.77,14.0,15.0,1.0714285714285714,4019.0,,,-149.0,任期満了,94.46,,,,十津川村議会議員選挙（2003年04月27日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7402561247216035,0.25974387527839643,,0.06729601133832759,0.06493596881959911,,3592.0,2.0,62.46666666666667,9.054403471362551,43.0,55.0,66.0,69.5,71.0,61.857142857142854,9.070022388199988,43.0,54.0,65.5,69.0,71.0,,,,278.0,,,,,,,,,,,,,3314.0,,,,,,3592.0,,,,0.07739420935412027,,,,,,,,,,,,,0.9226057906458798,,,,,,1.0,,,,0.07739420935412027,,,,,,,,,,,,,0.06590041361756284,,,,,,,,,1.0,,,,,,,,,,,,,14.0,,,,,,,,,1.0,,,,,,,,,,,,,13.0,,,,,
十津川村議会議員選挙（2007年04月22日投票）,十津川村議会議員選挙,奈良県,十津川村,20070422.0,2007.0,4.0,22.0,20070417.0,90.65,12.0,13.0,1.0833333333333333,3723.0,,,-296.0,任期満了,90.77,,,,十津川村議会議員選挙（2007年04月22日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5578190533253445,0.44218094667465546,,0.06972738166566807,0.0884361893349311,,3338.0,2.0,57.30769230769231,12.318745037135107,30.0,49.0,57.0,68.0,75.0,55.833333333333336,11.667857082124758,30.0,48.5,56.5,63.5,73.0,,,,253.0,,,,,,,,,,,,,3085.0,,,,,,3338.0,,,,0.07579388855602157,,,,,,,,,,,,,0.9242061114439785,,,,,,1.0,,,,0.07579388855602157,,,,,,,,,,,,,0.07701717595366488,,,,,,,,,1.0,,,,,,,,,,,,,12.0,,,,,,,,,1.0,,,,,,,,,,,,,11.0,,,,,
十津川村議会議員選挙（2011年04月24日投票）,十津川村議会議員選挙,奈良県,十津川村,20110424.0,2011.0,4.0,24.0,20110419.0,88.38,10.0,12.0,1.2,3435.0,,,-288.0,任期満了,90.65,,,,十津川村議会議員選挙（2011年04月24日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.08333333333333333,0.7,0.2,0.1,0.708915502328676,0.20991350632069194,0.08117099135063206,0.0886144377910845,0.06997116877356398,0.08117099135063206,3006.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006.0,,,,,,3006.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,
十津川村議会議員選挙（2015年04月26日投票）,十津川村議会議員選挙,奈良県,十津川村,20150426.0,2015.0,4.0,26.0,20150421.0,84.99,9.0,10.0,1.1111111111111112,,,,,任期満了,88.38,,,,十津川村議会議員選挙（2015年04月26日投票）,1.0,10.0,9.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.650459418070444,0.2277947932618683,0.1217457886676876,0.09292277401006344,0.11389739663093415,0.1217457886676876,2612.0,1.0,56.5,8.090117428072352,38.0,52.25,60.0,62.25,65.0,57.0,8.379870059984357,38.0,53.0,60.0,63.0,65.0,,,,,,,,,,,,,,,,,2612.0,,,,,,2612.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,
十津川村議会議員選挙（2019年04月21日投票）,十津川村議会議員選挙,奈良県,十津川村,20190421.0,2019.0,4.0,21.0,20190416.0,,9.0,10.0,1.1111111111111112,,,,,任期満了,84.99,,,,十津川村議会議員選挙（2019年04月21日投票）,1.0,10.0,9.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.8888888888888888,0.1111111111111111,0.0,0.9035532994923858,0.09644670050761421,,0.10039481105470954,0.09644670050761421,,2364.0,1.0,61.0,7.9498427657407165,42.0,58.0,64.0,66.25,69.0,60.666666666666664,8.31330927555995,42.0,57.0,64.0,67.0,69.0,,,,,,,,,,,,,,,,,2364.0,,,,,,2364.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,
吉野町議会議員補欠選挙（2007年04月22日投票）,吉野町議会議員補欠選挙,奈良県,吉野町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,3.0,3.0,1.0,8775.0,,,,その他,,,,,吉野町議会議員補欠選挙（2007年04月22日投票）,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,57.333333333333336,2.8674417556808756,54.0,55.5,57.0,59.0,61.0,57.333333333333336,2.8674417556808756,54.0,55.5,57.0,59.0,61.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
吉野町議会議員補欠選挙（2008年02月03日投票）,吉野町議会議員補欠選挙,奈良県,吉野町,20080203.0,2008.0,2.0,3.0,20080129.0,無投票,2.0,2.0,1.0,8591.0,,,-184.0,その他,,,,,吉野町議会議員補欠選挙（2008年02月03日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,1.0,55.5,1.5,54.0,54.75,55.5,56.25,57.0,55.5,1.5,54.0,54.75,55.5,56.25,57.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
吉野町議会議員補欠選挙（2012年01月29日投票）,吉野町議会議員補欠選挙,奈良県,吉野町,20120129.0,2012.0,1.0,29.0,20120124.0,無投票,1.0,1.0,1.0,7903.0,,,-688.0,その他,,,,,吉野町議会議員補欠選挙（2012年01月29日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
吉野町議会議員補欠選挙（2020年01月26日投票）,吉野町議会議員補欠選挙,奈良県,吉野町,20200126.0,2020.0,1.0,26.0,20200121.0,75.55,1.0,2.0,2.0,,,,,辞職/上佳宏議員の町長選出馬による辞職のため,,,,,吉野町議会議員補欠選挙（2020年01月26日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.5414699932569117,0.45853000674308836,,0.5414699932569117,0.45853000674308836,4449.0,1.0,58.0,1.0,57.0,57.5,58.0,58.5,59.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,4449.0,,,,,,4449.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
吉野町議会議員選挙（2009年03月01日投票）,吉野町議会議員選挙,奈良県,吉野町,20090301.0,2009.0,3.0,1.0,20090224.0,83.64,12.0,16.0,1.3333333333333333,8348.0,,,,任期満了,,,,,吉野町議会議員選挙（2009年03月01日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.0625,0.08333333333333333,0.6875,0.125,0.1875,0.5833333333333334,0.16666666666666666,0.25,0.6292526897353882,0.14480953765629542,0.22593777260831638,0.05720478997594438,0.07240476882814771,0.0753125908694388,6878.0,3.0,57.5,11.346805717910216,28.0,53.75,59.0,67.25,72.0,54.25,11.068912924643202,28.0,49.5,56.0,61.5,68.0,,,,,,,,,,456.0,,,,837.0,,,5585.0,,,,,,6878.0,,,,,,,,,,0.06629834254143646,,,,0.1216923524280314,,,0.8120093050305321,,,,,,1.0,,,,,,,,,,0.06629834254143646,,,,0.0608461762140157,,,0.06246225423311786,,,,,,,,,,,,,,,1.0,,,,2.0,,,13.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,9.0,,,,,
