,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから自国民を守る党,得票数_あたらしい党,得票数_たちあがれ日本,得票数_たんぽぽ党,得票数_公明党,得票数_国民民主党,得票数_市民の党「自由と責任」,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_権力者から住民を守る党,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから自国民を守る党,得票率_あたらしい党,得票率_たちあがれ日本,得票率_たんぽぽ党,得票率_公明党,得票率_国民民主党,得票率_市民の党「自由と責任」,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_権力者から住民を守る党,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_あたらしい党,一人あたり得票率_たちあがれ日本,一人あたり得票率_たんぽぽ党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_市民の党「自由と責任」,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_権力者から住民を守る党,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから自国民を守る党,立候補者数_あたらしい党,立候補者数_たちあがれ日本,立候補者数_たんぽぽ党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_市民の党「自由と責任」,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_権力者から住民を守る党,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから自国民を守る党,当選者数_あたらしい党,当選者数_たちあがれ日本,当選者数_たんぽぽ党,当選者数_公明党,当選者数_国民民主党,当選者数_市民の党「自由と責任」,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_権力者から住民を守る党,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
備前市議会議員選挙（2010年05月23日投票）,備前市議会議員選挙,岡山県,備前市,20100523.0,2010.0,5.0,23.0,20100516.0,74.46,22.0,26.0,1.181818181818182,32324.0,,,-1390.0,任期満了,79.96,,,,備前市議会議員選挙（2010年05月23日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.07692307692307693,0.09090909090909091,0.8461538461538461,0.15384615384615385,0.0,0.8636363636363636,0.13636363636363635,0.0,0.8554898754873601,0.14451012451263992,,0.038885903431243644,0.03612753112815998,,23853.0,3.0,,,,,,,,,,,,,,,,,,,2129.0,,,,1677.0,,,,,,,20047.0,,,,23853.0,,,,,0.08925502033287218,,,,0.07030562193434788,,,,,,,0.8404393577327799,,,,1.0,,,,,0.04462751016643609,,,,0.03515281096717394,,,,,,,0.03820178898785363,,,,,,,,2.0,,,,2.0,,,,,,,22.0,,,,,,,,2.0,,,,2.0,,,,,,,18.0,,,
備前市議会議員選挙（2014年05月18日投票）,備前市議会議員選挙,岡山県,備前市,20140518.0,2014.0,5.0,18.0,20140511.0,70.08,16.0,19.0,1.1875,,,,,任期満了,74.46,,,,備前市議会議員選挙（2014年05月18日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.6875,0.3125,0.0,0.6897988639538132,0.28775956792997487,0.022441568116211938,0.05306145107337024,0.05755191358599497,0.022441568116211938,21478.0,3.0,59.73684210526316,9.956971137762084,31.0,56.0,63.0,66.0,72.0,58.625,10.385536818094671,31.0,50.5,63.0,63.25,72.0,,,,,2453.0,,,,2068.0,,,,,,,16957.0,,,,21478.0,,,,,0.11420988918893751,,,,0.09628457025793835,,,,,,,0.7895055405531242,,,,1.0,,,,,0.05710494459446876,,,,0.048142285128969176,,,,,,,0.05263370270354161,,,,,,,,2.0,,,,2.0,,,,,,,15.0,,,,,,,,2.0,,,,1.0,,,,,,,13.0,,,
備前市議会議員選挙（2018年05月20日投票）,備前市議会議員選挙,岡山県,備前市,20180520.0,2018.0,5.0,20.0,20180513.0,64.88,16.0,16.0,1.0,,,,,任期満了,70.08,,,,備前市議会議員選挙（2018年05月20日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.6875,0.125,0.1875,0.6958391468904682,0.13093943369808972,0.173221419411442,0.05352608822234371,0.04364647789936324,0.057740473137147336,19298.999,3.0,62.26315789473684,9.535761528186287,35.0,56.0,66.0,67.0,76.0,61.875,9.512327528002807,35.0,56.5,66.0,67.0,73.0,,,,,2323.0,,,,1765.0,,,,,,,15210.999,,,,19298.999,,,,,0.12036893726975166,,,,0.09145552056870929,,,,,,,0.7881755421615391,,,,1.0,,,,,0.06018446863487583,,,,0.04572776028435464,,,,,,,0.0525450361441026,,,,,,,,2.0,,,,2.0,,,,,,,15.0,,,,,,,,2.0,,,,2.0,,,,,,,12.0,,,
勝央町議会議員選挙（2006年04月09日投票）,勝央町議会議員選挙,岡山県,勝央町,20060409.0,2006.0,4.0,9.0,20060404.0,無投票,12.0,12.0,1.0,9156.0,,,,その他,,,,,勝央町議会議員選挙（2006年04月09日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,2.0,64.0,7.494442385305705,45.0,60.5,65.0,69.0,74.0,64.0,7.494442385305705,45.0,60.5,65.0,69.0,74.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,11.0,,,
勝央町議会議員選挙（2010年04月11日投票）,勝央町議会議員選挙,岡山県,勝央町,20100411.0,2010.0,4.0,11.0,20100406.0,無投票,12.0,12.0,1.0,9378.0,,,222.0,任期満了,,,,,勝央町議会議員選挙（2010年04月11日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,11.0,,,
勝央町議会議員選挙（2014年04月13日投票）,勝央町議会議員選挙,岡山県,勝央町,20140413.0,2014.0,4.0,13.0,20140408.0,,12.0,13.0,1.0833333333333333,,,,,任期満了,,,,,勝央町議会議員選挙（2014年04月13日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.5384615384615384,0.46153846153846156,0.0,0.5,0.5,0.0,0.48161233338686366,0.5183876666131363,,0.0688017619124091,0.08639794443552272,,6227.0,2.0,60.15384615384615,6.502616678587095,49.0,55.0,60.0,66.0,70.0,60.75,6.417748826496718,49.0,55.75,61.0,66.25,70.0,,,,,1039.0,,,,,,,,,,,5188.0,,,,6227.0,,,,,0.16685402280391842,,,,,,,,,,,0.8331459771960816,,,,1.0,,,,,0.16685402280391842,,,,,,,,,,,0.06942883143300681,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,1.0,,,,,,,,,,,11.0,,,
勝央町議会議員選挙（2018年04月08日投票）,勝央町議会議員選挙,岡山県,勝央町,20180408.0,2018.0,4.0,8.0,20180403.0,67.24,12.0,14.0,1.1666666666666667,,,,,任期満了,,,,,勝央町議会議員選挙（2018年04月08日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.6428571428571429,0.35714285714285715,0.0,0.5833333333333334,0.4166666666666667,0.0,0.6330260125123477,0.3669739874876523,,0.07033622361248308,0.07339479749753046,,6074.0,2.0,60.642857142857146,5.339972483304476,52.0,57.5,60.0,64.75,70.0,59.416666666666664,4.698551786336816,52.0,56.25,59.5,62.5,68.0,,,,,841.0,,,,,,,,,,,5233.0,,,,6074.0,,,,,0.13845900559762925,,,,,,,,,,,0.8615409944023708,,,,1.0,,,,,0.13845900559762925,,,,,,,,,,,0.06627238418479775,,,,,,,,1.0,,,,,,,,,,,13.0,,,,,,,,1.0,,,,,,,,,,,11.0,,,
吉備中央町議会議員選挙（2004年09月24日投票）,吉備中央町議会議員選挙,岡山県,吉備中央町,20040924.0,2004.0,9.0,24.0,20040919.0,,18.0,20.0,1.1111111111111112,1.0,,,,任期満了,,,,,吉備中央町議会議員選挙（2004年09月24日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.05,,9532.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1082.0,,,,,,,8450.0,,,,9532.0,,,,,,,,,0.11351237935375577,,,,,,,0.8864876206462442,,,,1.0,,,,,,,,,0.056756189676877886,,,,,,,0.04924931225812468,,,,,,,,,,,,2.0,,,,,,,18.0,,,,,,,,,,,,2.0,,,,,,,16.0,,,
吉備中央町議会議員選挙（2008年09月28日投票）,吉備中央町議会議員選挙,岡山県,吉備中央町,20080928.0,2008.0,9.0,28.0,20080923.0,76.09,16.0,17.0,1.0625,11399.0,,,11398.0,任期満了,,,,,吉備中央町議会議員選挙（2008年09月28日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.75,0.1875,0.0625,0.7144731332868108,0.23639683647359852,0.0491300302395906,0.0595394277739009,0.05909920911839963,0.0491300302395906,8597.999999999998,2.0,60.411764705882355,6.155426334251867,48.0,58.0,62.0,66.0,67.0,60.0,6.113509630318742,48.0,57.25,61.5,66.0,67.0,,,,,,,,,788.04,,,,,,,7809.96,,,,8598.0,,,,,,,,,0.09165387299371947,,,,,,,0.9083461270062805,,,,1.0,,,,,,,,,0.04582693649685973,,,,,,,0.06055640846708536,,,,,,,,,,,,2.0,,,,,,,15.0,,,,,,,,,,,,2.0,,,,,,,14.0,,,
吉備中央町議会議員選挙（2012年09月30日投票）,吉備中央町議会議員選挙,岡山県,吉備中央町,20120930.0,2012.0,9.0,30.0,20120925.0,無投票,16.0,16.0,1.0,10837.0,,,-562.0,任期満了,76.09,,,,吉備中央町議会議員選挙（2012年09月30日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25,0.0,,,,,,,0.0,2.0,65.25,5.202163011671203,52.0,63.75,65.5,70.0,71.0,65.25,5.202163011671203,52.0,63.75,65.5,70.0,71.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,14.0,,,,,,,,,,,,2.0,,,,,,,14.0,,,
吉備中央町議会議員選挙（2016年09月25日投票）,吉備中央町議会議員選挙,岡山県,吉備中央町,20160925.0,2016.0,9.0,25.0,20160920.0,70.76,12.0,18.0,1.5,10259.0,,,-578.0,任期満了,,,,,吉備中央町議会議員選挙（2016年09月25日投票）,1.0,18.0,12.0,1.5,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.6666666666666666,0.25,0.08333333333333333,0.6138036383835579,0.2559366754617414,0.13025968615470074,0.04721566449104291,0.06398416886543536,0.13025968615470074,7201.0,0.0,63.72222222222222,11.497852724920016,37.0,56.75,68.0,72.5,75.0,63.0,10.684880283216405,39.0,56.0,66.5,71.75,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉備中央町議会議員選挙（2020年09月27日投票）,吉備中央町議会議員選挙,岡山県,吉備中央町,20200927.0,2020.0,9.0,27.0,20200922.0,69.5,12.0,14.0,1.1666666666666667,9349.0,,,-910.0,任期満了,70.76,,,,吉備中央町議会議員選挙（2020年09月27日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.7142857142857143,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6913407821229051,0.308659217877095,,0.0691340782122905,0.07716480446927375,,6444.0,2.0,61.642857142857146,11.228834966009499,41.0,56.0,60.0,70.75,79.0,60.833333333333336,10.792229715041383,41.0,56.0,60.0,70.25,78.0,,,,,,,,,433.0,,,,,,,6011.0,,,,6444.0,,,,,,,,,0.06719428926132837,,,,,,,0.9328057107386716,,,,1.0,,,,,,,,,0.06719428926132837,,,,,,,0.07175428544143628,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,,,,,,1.0,,,,,,,11.0,,,
和気町議会議員補欠選挙（2010年04月11日投票）,和気町議会議員補欠選挙,岡山県,和気町,20100411.0,2010.0,4.0,11.0,20100406.0,68.03,2.0,4.0,2.0,13172.0,,,,その他,,,,,和気町議会議員補欠選挙（2010年04月11日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.3220928837153486,0.6779071162846514,,0.1610464418576743,0.3389535581423257,8333.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8333.0,,,,8333.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,
和気町議会議員補欠選挙（2018年04月08日投票）,和気町議会議員補欠選挙,岡山県,和気町,20180408.0,2018.0,4.0,8.0,20180403.0,56.37,2.0,3.0,1.5,,,,,その他,68.03,,,,和気町議会議員補欠選挙（2018年04月08日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.7304150943396226,0.26958490566037735,,0.3652075471698113,0.26958490566037735,6625.0,1.0,152.0,148.73018075248436,27.0,47.5,68.0,214.5,361.0,194.0,167.0,27.0,110.5,194.0,277.5,361.0,,,,,,,,,,,,,,,,6625.0,,,,6625.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,
和気町議会議員選挙（2007年02月25日投票）,和気町議会議員選挙,岡山県,和気町,20070225.0,2007.0,2.0,25.0,20070220.0,77.95,16.0,19.0,1.1875,13680.0,,,,任期満了,,,,,和気町議会議員選挙（2007年02月25日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.125,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.625,0.25,0.125,0.566899033907937,0.29178632316726655,0.14131464292479637,0.05153627580981246,0.04863105386121109,0.07065732146239818,10558.0,4.0,60.0,5.749141812387947,51.0,56.0,59.0,63.5,72.0,60.1875,5.536455883505259,51.0,56.0,59.0,62.75,72.0,,,,656.0,732.33,,,,569.0,,,,,,,8600.67,,,,10558.0,,,,0.06213297973100966,0.0693625686683084,,,,0.053892782724000755,,,,,,,0.8146116688766812,,,,1.0,,,,0.06213297973100966,0.0693625686683084,,,,0.053892782724000755,,,,,,,0.05091322930479258,,,,,,,1.0,1.0,,,,1.0,,,,,,,16.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,13.0,,,
和気町議会議員選挙（2011年02月20日投票）,和気町議会議員選挙,岡山県,和気町,20110220.0,2011.0,2.0,20.0,20110215.0,74.0,16.0,18.0,1.125,13067.0,,,-613.0,任期満了,77.95,,,,和気町議会議員選挙（2011年02月20日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.75,0.1875,0.0625,0.699383626797146,0.24026338129203434,0.06035299191081958,0.05828196889976217,0.04805267625840687,0.06035299191081958,9576.99,4.0,,,,,,,,,,,,,,,,,,543.0,729.1,,,,442.0,,,,,,,7862.889999999999,,,,9576.99,,,,0.05669839897504331,0.07613039169927086,,,,0.04615228793180321,,,,,,,0.8210189213938826,,,,1.0,,,,0.05669839897504331,0.07613039169927086,,,,0.04615228793180321,,,,,,,0.05473459475959217,,,,,,,1.0,1.0,,,,1.0,,,,,,,15.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,13.0,,,
和気町議会議員選挙（2015年02月15日投票）,和気町議会議員選挙,岡山県,和気町,20150215.0,2015.0,2.0,15.0,20150210.0,70.01,12.0,14.0,1.1666666666666667,,,,,任期満了,74.0,,,,和気町議会議員選挙（2015年02月15日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,0.8571428571428571,0.14285714285714285,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8725209217012496,0.12747907829875044,,0.07271007680843747,0.06373953914937522,,8723.0,4.0,66.28571428571429,5.2294300622066086,59.0,64.0,65.5,67.0,80.0,66.33333333333333,5.632248416238601,59.0,63.75,65.0,67.75,80.0,,,,486.0,790.0,,,,613.0,,,,,,,6834.0,,,,8723.0,,,,0.05571477702625244,0.09056517253238565,,,,0.0702739883067752,,,,,,,0.7834460621345867,,,,1.0,,,,0.05571477702625244,0.09056517253238565,,,,0.0702739883067752,,,,,,,0.07122236928496242,,,,,,,1.0,1.0,,,,1.0,,,,,,,11.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,9.0,,,
和気町議会議員選挙（2019年02月17日投票）,和気町議会議員選挙,岡山県,和気町,20190217.0,2019.0,2.0,17.0,20190212.0,66.49,12.0,15.0,1.25,,,,,任期満了,70.01,,,,和気町議会議員選挙（2019年02月17日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.06666666666666667,0.0,0.7333333333333333,0.2,0.06666666666666667,0.75,0.25,0.0,0.7411940720951876,0.22333252852017593,0.03547339938463644,0.0673812792813807,0.07444417617339198,0.03547339938463644,8005.999,4.0,64.53333333333333,11.837041672460039,28.0,62.5,68.0,69.5,84.0,62.25,11.648497757221744,28.0,61.5,65.0,68.5,74.0,,,,338.0,680.0,,,,532.0,,,,,,,6455.999,,,,8005.999,,,,0.04221834152115183,0.08493630838574924,,,,0.06645017067826264,,,,,,,0.8063951794148363,,,,1.0,,,,0.04221834152115183,0.08493630838574924,,,,0.06645017067826264,,,,,,,0.06719959828456969,,,,,,,1.0,1.0,,,,1.0,,,,,,,12.0,,,,,,,0.0,1.0,,,,1.0,,,,,,,10.0,,,
奈義町議会議員選挙（2007年02月04日投票）,奈義町議会議員選挙,岡山県,奈義町,20070204.0,2007.0,2.0,4.0,20070130.0,84.19,10.0,12.0,1.2,5362.0,,,,任期満了,,,,,奈義町議会議員選挙（2007年02月04日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.4,0.5,0.1,0.37794216543375925,0.5072853620264515,0.11477247253978928,0.09448554135843981,0.0724693374323502,0.11477247253978928,4461.0,2.0,61.416666666666664,5.024246764994287,55.0,58.5,61.0,63.0,71.0,61.9,5.068530358989675,55.0,59.0,61.0,62.75,71.0,,,,,,,,,465.0,,,,,,,3996.0,,,,4461.0,,,,,,,,,0.10423671822461332,,,,,,,0.8957632817753867,,,,1.0,,,,,,,,,0.10423671822461332,,,,,,,0.08143302561594425,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,9.0,,,
奈義町議会議員選挙（2011年02月06日投票）,奈義町議会議員選挙,岡山県,奈義町,20110206.0,2011.0,2.0,6.0,20110201.0,79.7,10.0,11.0,1.1,5153.0,,,-209.0,任期満了,84.19,,,,奈義町議会議員選挙（2011年02月06日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.7,0.3,0.0,0.687751976284585,0.31224802371541505,,0.09825028232636927,0.07806200592885376,,4048.0,2.0,,,,,,,,,,,,,,,,,,,,,,,441.0,,,,,,,3607.0,,,,4048.0,,,,,,,,,0.10894268774703557,,,,,,,0.8910573122529645,,,,1.0,,,,,,,,,0.10894268774703557,,,,,,,0.08910573122529644,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,1.0,,,,,,,9.0,,,
奈義町議会議員選挙（2015年02月08日投票）,奈義町議会議員選挙,岡山県,奈義町,20150208.0,2015.0,2.0,8.0,20150203.0,78.65,10.0,11.0,1.1,5123.0,,,-30.0,任期満了,79.7,,,,奈義町議会議員選挙（2015年02月08日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.8181818181818182,0.18181818181818182,0.0,0.9,0.1,0.0,0.82534504391468,0.17465495608531995,,0.09170500487940889,0.08732747804265997,,3985.0,2.0,64.18181818181819,4.8207540303864915,53.0,63.5,65.0,67.0,70.0,64.0,5.019960159204453,53.0,63.25,65.0,67.0,70.0,,,,,,,,,432.0,,,,,,,3553.0,,,,3985.0,,,,,,,,,0.10840652446675031,,,,,,,0.8915934755332496,,,,1.0,,,,,,,,,0.10840652446675031,,,,,,,0.08915934755332497,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,1.0,,,,,,,9.0,,,
奈義町議会議員選挙（2019年02月03日投票）,奈義町議会議員選挙,岡山県,奈義町,20190203.0,2019.0,2.0,3.0,20190129.0,82.14,10.0,12.0,1.2,4954.0,,,-169.0,任期満了,78.65,,,,奈義町議会議員選挙（2019年02月03日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.75,0.25,0.0,0.8,0.2,0.0,0.7868565184549021,0.21314348154509785,,0.08742850205054468,0.07104782718169929,,4001.999,2.0,63.916666666666664,9.313595200327077,39.0,60.0,67.5,69.5,74.0,65.1,9.689685237405806,39.0,66.25,68.5,70.5,74.0,,,,,,,,,604.0,,,,,,,3397.999,,,,4001.999,,,,,,,,,0.15092457544342217,,,,,,,0.8490754245565778,,,,1.0,,,,,,,,,0.15092457544342217,,,,,,,0.0771886749596889,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,9.0,,,
岡山市議会議員再選挙（2013年10月06日投票）,岡山市議会議員再選挙,岡山県,岡山市,20131006.0,2013.0,10.0,6.0,20130927.0,,1.0,2.0,2.0,,,,,選挙犯罪による当選無効,,,,,岡山市議会議員再選挙（2013年10月06日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.6375911199469848,0.36240888005301525,,0.6375911199469848,0.36240888005301525,24144.0,1.0,76.5,1.5,75.0,75.75,76.5,77.25,78.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,,,,,,,,,,,,,,,,24144.0,,,,24144.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,
岡山市議会議員補欠選挙（2009年09月13日投票）,岡山市議会議員補欠選挙,岡山県,岡山市,20090913.0,2009.0,9.0,13.0,20090904.0,43.4,1.0,3.0,3.0,541400.0,,,,その他,,,,,岡山市議会議員補欠選挙（2009年09月13日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,198329.0,1.0,35.666666666666664,8.73053390247253,29.0,29.5,30.0,39.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,198329.0,,,,198329.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,
岡山市議会議員補欠選挙（2013年10月06日投票）,岡山市議会議員補欠選挙,岡山県,岡山市,20131006.0,2013.0,10.0,6.0,20130927.0,,1.0,2.0,2.0,,,,,その他,43.4,,,,岡山市議会議員補欠選挙（2013年10月06日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.3520389665663078,0.6479610334336922,,0.3520389665663078,0.6479610334336922,63439.0,1.0,61.0,6.0,55.0,58.0,61.0,64.0,67.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,63439.0,,,,63439.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,
岡山市議会議員補欠選挙（2017年10月01日投票）,岡山市議会議員補欠選挙,岡山県,岡山市,20171001.0,2017.0,10.0,1.0,20170922.0,,1.0,4.0,4.0,,,,,"その他/熊代昭彦議員の失職による",,,,,岡山市議会議員補欠選挙（2017年10月01日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,33706.0,0.0,46.75,10.0093706095838,33.0,39.75,47.5,54.5,59.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
