,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_　,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
多治見市議会議員選挙（2011年04月24日投票）,多治見市議会議員選挙,岐阜県,多治見市,20110424.0,2011.0,4.0,24.0,20110417.0,55.76,24.0,28.0,1.1666666666666667,92226.0,,,128.0,任期満了,64.0,,,,多治見市議会議員選挙（2011年04月24日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.6785714285714286,0.17857142857142858,0.14285714285714285,0.75,0.16666666666666666,0.08333333333333333,0.6951767323710691,0.16962369296811924,0.1351995746608117,0.03658824907216154,0.03392473859362385,0.033799893665202925,50782.99999999999,5.0,,,,,,,,,,,,,,,,6077.0,,,1530.0,,2616.0,,35837.04,,,,4722.96,50783.0,,0.11966602997065948,,,0.03012819250536597,,0.051513301695449265,,0.7056896993088239,,,,0.09300277651970147,1.0,,0.039888676656886494,,,0.03012819250536597,,0.051513301695449265,,0.03360427139565828,,,,0.046501388259850736,,3.0,,,1.0,,1.0,,21.0,,,,2.0,,3.0,,,1.0,,1.0,,17.0,,,,2.0
多治見市議会議員選挙（2015年04月26日投票）,多治見市議会議員選挙,岐阜県,多治見市,20150426.0,2015.0,4.0,26.0,20150419.0,53.08,24.0,27.0,1.125,,,,,任期満了,55.76,,,,多治見市議会議員選挙（2015年04月26日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.14814814814814814,0.16666666666666666,0.7777777777777778,0.2222222222222222,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7986787578653527,0.20132124213464728,,0.038032321803112036,0.03355354035577455,,48131.98,5.0,58.074074074074076,13.2103380558587,27.0,53.5,62.0,67.5,75.0,58.75,11.980018085684735,27.0,53.75,62.0,67.25,73.0,,5282.66,,,2080.0,,2439.0,,29406.65,,,,8923.67,48131.979999999996,,0.10975363988765889,,,0.04321451143293918,,0.05067316989660513,,0.6109586599180006,,,,0.18540001886479635,1.0,,0.03658454662921963,,,0.04321451143293918,,0.05067316989660513,,0.033942147773222256,,,,0.046350004716199086,,3.0,,,1.0,,1.0,,18.0,,,,4.0,,3.0,,,1.0,,1.0,,16.0,,,,3.0
多治見市議会議員選挙（2019年04月21日投票）,多治見市議会議員選挙,岐阜県,多治見市,20190421.0,2019.0,4.0,21.0,20190414.0,49.2,21.0,24.0,1.1428571428571428,91963.0,,,,任期満了,53.08,,,,多治見市議会議員選挙（2019年04月21日投票）,1.0,24.0,21.0,1.1428571428571428,0.0,0.0,0.0,,,,,,,,,,,,,,,44715.997,5.0,,,,,,,,,,,,,,,,6426.8,,,1489.0,,,,28214.197,,3237.0,,5349.0,44715.997,,0.1437248508626566,,,0.033299045082233095,,,,0.6309642833190099,,0.0723902007596968,,0.11962161997640351,1.0,,0.04790828362088553,,,0.033299045082233095,,,,0.03943526770743812,,0.0361951003798484,,0.059810809988201756,,3.0,,,1.0,,,,16.0,,2.0,,2.0,,3.0,,,1.0,,,,14.0,,1.0,,2.0
大垣市議会議員増員選挙（2006年04月16日投票）,大垣市議会議員増員選挙,岐阜県,大垣市,20060416.0,2006.0,4.0,16.0,20060409.0,,0.0,9.0,,9099.0,,,,その他,,,,,大垣市議会議員増員選挙（2006年04月16日投票）,2.0,9.0,4.0,2.25,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.1111111111111111,,6935.0,1.0,64.77777777777777,4.871180048173994,54.0,62.0,67.0,68.0,71.0,67.25,3.2691742076555053,62.0,66.5,68.0,68.75,71.0,,,,,,,,,6935.0,,,,,6935.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,9.0,,,,,,,,,,,,,4.0,,,,
大垣市議会議員補欠選挙（2017年04月16日投票）,大垣市議会議員補欠選挙,岐阜県,大垣市,20170416.0,2017.0,4.0,16.0,20170409.0,17.84,1.0,2.0,2.0,,,,,任期満了,,,,,大垣市議会議員補欠選挙（2017年04月16日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,22624.0,0.0,45.5,1.5,44.0,44.75,45.5,46.25,47.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大垣市議会議員補欠選挙（2021年04月18日投票）,大垣市議会議員補欠選挙,岐阜県,大垣市,20210418.0,2021.0,4.0,18.0,20210411.0,無投票,1.0,1.0,1.0,131037.0,63360.0,67677.0,,辞職/現職議員の市長選出馬に伴う辞職,17.84,,,,大垣市議会議員補欠選挙（2021年04月18日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
大垣市議会議員選挙（1999年04月25日投票）,大垣市議会議員選挙,岐阜県,大垣市,19990425.0,1999.0,4.0,25.0,19990418.0,65.81,32.0,38.0,1.1875,115070.0,,,,任期満了,,,,,大垣市議会議員選挙（1999年04月25日投票）,1.0,38.0,32.0,1.1875,0.0,0.0,0.0,0.07894736842105263,0.0625,0.6842105263157895,0.3157894736842105,0.0,0.78125,0.21875,0.0,0.7415529194886386,0.25844708051136134,,0.028521266134178404,0.02153725670928011,,74859.0,5.0,54.026315789473685,10.638774271763648,30.0,49.0,52.0,61.5,78.0,55.8125,9.725731013656505,30.0,49.75,54.5,64.25,78.0,,6375.0,,,3340.0,,1034.0,,34297.28,,,,29812.72,74859.0,,0.08516010098986093,,,0.04461721369508009,,0.013812634419375093,,0.45815840446706474,,,,0.39825164642861915,1.0,,0.028386700329953645,,,0.022308606847540043,,0.013812634419375093,,0.02545324469261471,,,,0.028446546173472798,,3.0,,,2.0,,1.0,,18.0,,,,14.0,,3.0,,,1.0,,0.0,,15.0,,,,13.0
大垣市議会議員選挙（2003年04月27日投票）,大垣市議会議員選挙,岐阜県,大垣市,20030427.0,2003.0,4.0,27.0,20030420.0,60.33,29.0,34.0,1.1724137931034482,116324.0,,,1254.0,任期満了,65.81,,,,大垣市議会議員選挙（2003年04月27日投票）,1.0,34.0,29.0,1.1724137931034482,0.0,0.0,0.0,0.08823529411764706,0.06896551724137931,0.7647058823529411,0.23529411764705882,0.0,0.8275862068965517,0.1724137931034483,0.0,0.769258003841377,0.23074199615862298,,0.029586846301591422,0.028842749519827873,,69396.98999999999,5.0,54.85294117647059,10.050262955123513,29.0,50.25,54.5,60.75,75.0,56.58620689655172,9.256934926478413,34.0,53.0,56.0,61.0,75.0,,6735.0,,,3118.0,,2329.0,,25056.480000000003,,,,32158.51,69396.99,,0.09705031875301795,,,0.04492990257934818,,0.03356053338912826,,0.36106004021211874,,,,0.4633992050663868,1.0,,0.03235010625100598,,,0.02246495128967409,,0.03356053338912826,,0.030088336684343228,,,,0.028962450316649176,,3.0,,,2.0,,1.0,,12.0,,,,16.0,,3.0,,,1.0,,1.0,,10.0,,,,14.0
大垣市議会議員選挙（2007年04月22日投票）,大垣市議会議員選挙,岐阜県,大垣市,20070422.0,2007.0,4.0,22.0,20070415.0,56.51,0.0,33.0,,126604.0,,,10280.0,任期満了,60.33,,,,大垣市議会議員選挙（2007年04月22日投票）,3.0,33.0,26.0,1.2692307692307692,0.06060606060606061,0.3333333333333333,0.3333333333333333,0.12121212121212122,0.11538461538461539,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.03225806451612903,,,67851.0,5.0,57.666666666666664,8.608194357762265,38.0,54.0,58.0,62.0,79.0,56.57692307692308,7.222683695366538,38.0,52.5,57.5,60.0,69.0,,5494.0,,,2778.0,,2551.0,,,,,,26029.0,36852.0,,0.14908281775751656,,,0.07538261152718984,,0.06922283729512645,,,,,,0.7063117334201672,1.0,,0.07454140887875828,,,0.07538261152718984,,0.06922283729512645,,,,,,0.06421015758365156,,2.0,,,1.0,,1.0,,18.0,,,,11.0,,2.0,,,1.0,,1.0,,12.0,,,,10.0
大垣市議会議員選挙（2011年04月24日投票）,大垣市議会議員選挙,岐阜県,大垣市,20110424.0,2011.0,4.0,24.0,20110417.0,48.08,24.0,26.0,1.0833333333333333,127156.0,,,552.0,任期満了,56.51,,,,大垣市議会議員選挙（2011年04月24日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.11538461538461539,0.125,0.8076923076923077,0.19230769230769232,0.0,0.875,0.125,0.0,0.9042528545424457,0.0957471454575542,,0.04305965974011646,0.01914942909151084,,60430.0,5.0,,,,,,,,,,,,,,,,5550.0,,,2411.0,,2398.0,,14489.0,,,,35582.0,60430.0,,0.09184180043024988,,,0.039897401952672516,,0.03968227701472778,,0.23976501737547576,,,,0.5888135032268741,1.0,,0.04592090021512494,,,0.039897401952672516,,0.03968227701472778,,0.026640557486163972,,,,0.04529334640206724,,2.0,,,1.0,,1.0,,9.0,,,,13.0,,2.0,,,1.0,,1.0,,7.0,,,,13.0
大垣市議会議員選挙（2015年04月26日投票）,大垣市議会議員選挙,岐阜県,大垣市,20150426.0,2015.0,4.0,26.0,20150419.0,49.02,22.0,29.0,1.318181818181818,127200.0,,,44.0,任期満了,48.08,,,,大垣市議会議員選挙（2015年04月26日投票）,1.0,29.0,22.0,1.3181818181818181,0.0,0.0,0.0,0.10344827586206896,0.13636363636363635,0.6896551724137931,0.3103448275862069,0.0,0.8181818181818182,0.18181818181818182,0.0,0.7591872923251479,0.2408127076748521,,0.037959364616257395,0.02675696751942801,,61695.0,5.0,,,,,,,,,,,,,,,,5101.52,,,3821.5699999999997,,2299.0,,15553.369999999999,,,,34919.54,61695.0,,0.08268935894318827,,,0.06194294513331712,,0.03726395980225302,,0.2521009806305211,,,,0.5660027554907205,1.0,,0.041344679471594134,,,0.03097147256665856,,0.03726395980225302,,0.025210098063052112,,,,0.04042876824933718,,2.0,,,2.0,,1.0,,10.0,,,,14.0,,2.0,,,2.0,,1.0,,4.0,,,,13.0
大垣市議会議員選挙（2019年04月21日投票）,大垣市議会議員選挙,岐阜県,大垣市,20190421.0,2019.0,4.0,21.0,20190414.0,42.79,22.0,26.0,1.181818181818182,129726.0,,,2526.0,任期満了,49.02,,,,大垣市議会議員選挙（2019年04月21日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.11538461538461539,0.13636363636363635,,,,,,,,,,,,,54815.998,5.0,56.23076923076923,12.441579457941987,26.0,48.25,57.5,65.25,78.0,57.77272727272727,10.887573476139995,32.0,51.0,58.5,65.25,78.0,,5246.0830000000005,2346.0,,3716.916,,,,14868.838,,,,28638.161,54815.998,,0.09570350247020953,0.0427977248539742,,0.06780713907644262,,,,0.2712499734110469,,,,0.5224416601883268,1.0,,0.04785175123510477,0.0427977248539742,,0.03390356953822131,,,,0.030138885934560766,,,,0.0435368050156939,,2.0,1.0,,2.0,,,,9.0,,,,12.0,,2.0,1.0,,2.0,,,,5.0,,,,12.0
大野町議会議員補欠選挙（2010年02月21日投票）,大野町議会議員補欠選挙,岐阜県,大野町,20100221.0,2010.0,2.0,21.0,20100216.0,無投票,1.0,1.0,1.0,18858.0,,,,その他,,,,,大野町議会議員補欠選挙（2010年02月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
大野町議会議員選挙（2007年04月22日投票）,大野町議会議員選挙,岐阜県,大野町,20070422.0,2007.0,4.0,22.0,20070417.0,68.62,10.0,12.0,1.2,18725.0,,,,任期満了,,,,,大野町議会議員選挙（2007年04月22日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.75,0.16666666666666666,0.08333333333333333,0.8,0.1,0.1,0.7375903235940936,0.19643418158969525,0.06597549481621112,0.08195448039934373,0.09821709079484763,0.06597549481621112,12732.0,2.0,63.0,5.180090089306685,52.0,59.0,63.5,67.25,70.0,62.7,5.404627646748664,52.0,59.0,63.5,66.75,70.0,,1381.0,,,,,,,11351.0,,,,,12732.0,,0.10846685516808043,,,,,,,0.8915331448319196,,,,,1.0,,0.10846685516808043,,,,,,,0.08104846771199269,,,,,,1.0,,,,,,,11.0,,,,,,1.0,,,,,,,9.0,,,,
大野町議会議員選挙（2011年04月24日投票）,大野町議会議員選挙,岐阜県,大野町,20110424.0,2011.0,4.0,24.0,20110419.0,62.55,10.0,15.0,1.5,18871.0,,,146.0,任期満了,68.62,,,,大野町議会議員選挙（2011年04月24日投票）,1.0,15.0,10.0,1.5,0.0,0.0,0.0,0.13333333333333333,0.2,0.4666666666666667,0.5333333333333333,0.0,0.6,0.4,0.0,0.5671232876712329,0.4328767123287671,,0.08101761252446184,0.05410958904109589,,11680.0,3.0,,,,,,,,,,,,,,,,1186.0,,,356.0,,,,10138.0,,,,,11680.0,,0.10154109589041097,,,0.03047945205479452,,,,0.8679794520547945,,,,,1.0,,0.10154109589041097,,,0.03047945205479452,,,,0.06676765015806112,,,,,,1.0,,,1.0,,,,13.0,,,,,,1.0,,,0.0,,,,9.0,,,,
大野町議会議員選挙（2015年04月26日投票）,大野町議会議員選挙,岐阜県,大野町,20150426.0,2015.0,4.0,26.0,20150421.0,55.25,10.0,11.0,1.1,,,,,任期満了,62.55,,,,大野町議会議員選挙（2015年04月26日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.18181818181818182,0.2,0.6363636363636364,0.36363636363636365,0.0,0.7,0.3,0.0,0.7068546426835197,0.29314535731648034,,0.10097923466907424,0.07328633932912008,,10285.0,2.0,57.90909090909091,8.908163217006436,39.0,53.0,58.0,66.0,70.0,58.3,9.252567211320326,39.0,53.25,59.0,66.5,70.0,,1090.0,,,,,,,9195.0,,,,,10285.0,,0.10597958191541079,,,,,,,0.8940204180845892,,,,,1.0,,0.10597958191541079,,,,,,,0.08940204180845893,,,,,,1.0,,,,,,,10.0,,,,,,1.0,,,,,,,9.0,,,,
大野町議会議員選挙（2019年04月21日投票）,大野町議会議員選挙,岐阜県,大野町,20190421.0,2019.0,4.0,21.0,20190416.0,,10.0,12.0,1.2,,,,,任期満了,55.25,,,,大野町議会議員選挙（2019年04月21日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.25,0.3,0.75,0.25,0.0,0.9,0.1,0.0,0.7817109144542773,0.2182890855457227,,0.08685676827269748,0.0727630285152409,,9492.0,2.0,57.583333333333336,12.932248665856823,25.0,51.75,61.5,67.5,71.0,59.9,8.960468737739115,43.0,52.75,61.5,67.75,71.0,,1023.0,,,,,,,8469.0,,,,,9492.0,,0.10777496839443743,,,,,,,0.8922250316055625,,,,,1.0,,0.10777496839443743,,,,,,,0.08111136650959659,,,,,,1.0,,,,,,,11.0,,,,,,1.0,,,,,,,9.0,,,,
安八町議会議員選挙（2003年10月19日投票）,安八町議会議員選挙,岐阜県,安八町,20031019.0,2003.0,10.0,19.0,20031014.0,82.29,16.0,17.0,1.0625,11987.0,,,,任期満了,,,,,安八町議会議員選挙（2003年10月19日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8235294117647058,0.17647058823529413,0.0,0.875,0.125,0.0,0.8500945820910868,0.14990541790891335,,0.06072104157793477,0.049968472636304447,,9727.0,2.0,60.8235294117647,8.161857445154093,38.0,56.0,64.0,66.0,69.0,61.3125,8.167915508255456,38.0,60.5,64.0,66.25,69.0,,,,,440.25,,,,9286.75,,,,,9727.0,,,,,0.045260614783592064,,,,0.9547393852164079,,,,,1.0,,,,,0.045260614783592064,,,,0.05967121157602549,,,,,,,,,1.0,,,,16.0,,,,,,,,,1.0,,,,15.0,,,,
安八町議会議員選挙（2007年10月21日投票）,安八町議会議員選挙,岐阜県,安八町,20071021.0,2007.0,10.0,21.0,20071016.0,無投票,12.0,12.0,1.0,12302.0,,,315.0,任期満了,82.29,,,,安八町議会議員選挙（2007年10月21日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,,,,,,,0.0,2.0,62.5,8.60716755578357,42.0,58.0,65.0,69.0,73.0,62.5,8.60716755578357,42.0,58.0,65.0,69.0,73.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,,,,,,,,,1.0,,,,11.0,,,,
安八町議会議員選挙（2011年10月16日投票）,安八町議会議員選挙,岐阜県,安八町,20111016.0,2011.0,10.0,16.0,20111011.0,,12.0,15.0,1.25,12068.0,,,-234.0,任期満了,,,,,安八町議会議員選挙（2011年10月16日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,0.5333333333333333,0.4,0.06666666666666667,0.4166666666666667,0.5,0.08333333333333333,0.4998311761395611,0.4392796848621272,0.06088913899831176,0.062478897017445134,0.07321328081035454,0.06088913899831176,8885.0,2.0,64.93333333333334,7.654773383683904,46.0,62.5,64.0,69.5,77.0,63.916666666666664,7.653521339154213,46.0,62.75,64.0,68.0,75.0,,,,,381.0,,,,8504.0,,,,,8885.0,,,,,0.04288126055149128,,,,0.9571187394485087,,,,,1.0,,,,,0.04288126055149128,,,,0.06836562424632205,,,,,,,,,1.0,,,,14.0,,,,,,,,,0.0,,,,12.0,,,,
安八町議会議員選挙（2015年10月18日投票）,安八町議会議員選挙,岐阜県,安八町,20151018.0,2015.0,10.0,18.0,20151013.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,安八町議会議員選挙（2015年10月18日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.2,0.2,0.9,0.1,0.0,0.9,0.1,0.0,,,,,,,0.0,2.0,68.2,5.3065996645686395,57.0,66.25,68.0,71.0,76.0,68.2,5.3065996645686395,57.0,66.25,68.0,71.0,76.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,1.0,,,,9.0,,,,
安八町議会議員選挙（2019年10月20日投票）,安八町議会議員選挙,岐阜県,安八町,20191020.0,2019.0,10.0,20.0,20191015.0,,10.0,13.0,1.3,,,,,任期満了,,,,,安八町議会議員選挙（2019年10月20日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.1,0.6153846153846154,0.38461538461538464,0.0,0.6,0.4,0.0,0.6042833058758766,0.3957166941241234,,0.07553541323448458,0.07914333882482469,,6971.998,2.0,,,,,,,,,,,,,,,,,,,386.389,,,,6585.6089999999995,,,,,6971.998,,,,,0.055420124905371466,,,,0.9445798750946285,,,,,1.0,,,,,0.055420124905371466,,,,0.07871498959121905,,,,,,,,,1.0,,,,12.0,,,,,,,,,0.0,,,,10.0,,,,
富加町議会議員補欠選挙（2012年05月27日投票）,富加町議会議員補欠選挙,岐阜県,富加町,20120527.0,2012.0,5.0,27.0,20120522.0,無投票,2.0,2.0,1.0,4606.0,,,,その他,,,,,富加町議会議員補欠選挙（2012年05月27日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,1.0,63.0,7.0,56.0,59.5,63.0,66.5,70.0,63.0,7.0,56.0,59.5,63.0,66.5,70.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,
富加町議会議員選挙（2003年04月27日投票）,富加町議会議員選挙,岐阜県,富加町,20030427.0,2003.0,4.0,27.0,20030422.0,83.9,12.0,13.0,1.0833333333333333,4571.0,,,,任期満了,,,,,富加町議会議員選挙（2003年04月27日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.9166666666666666,0.08333333333333333,0.0,0.8628225381779884,0.0784623486045287,0.058715113217482885,0.0784384125616353,0.0784623486045287,0.058715113217482885,3798.0,2.0,59.0,7.615773105863909,42.0,53.0,61.0,66.0,70.0,58.833333333333336,7.903937134252918,42.0,52.75,60.0,66.0,70.0,,,,,294.0,,,,3504.0,,,,,3798.0,,,,,0.07740916271721959,,,,0.9225908372827805,,,,,1.0,,,,,0.07740916271721959,,,,0.07688256977356504,,,,,,,,,1.0,,,,12.0,,,,,,,,,1.0,,,,11.0,,,,
富加町議会議員選挙（2007年04月22日投票）,富加町議会議員選挙,岐阜県,富加町,20070422.0,2007.0,4.0,22.0,20070417.0,82.54,8.0,10.0,1.25,4576.0,,,5.0,任期満了,83.9,,,,富加町議会議員選挙（2007年04月22日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.625,0.375,0.0,0.54779801768015,0.39192874363782476,0.06027323868202518,0.09129966961335834,0.1306429145459416,0.06027323868202518,3733.0,1.0,62.1,4.369210454990696,55.0,57.75,65.0,65.0,67.0,62.0,4.716990566028302,55.0,56.75,65.0,65.25,67.0,,,,,,,,,3733.0,,,,,3733.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,,10.0,,,,,,,,,,,,,8.0,,,,
富加町議会議員選挙（2011年04月24日投票）,富加町議会議員選挙,岐阜県,富加町,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,8.0,8.0,1.0,4617.0,,,41.0,任期満了,82.54,,,,富加町議会議員選挙（2011年04月24日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.375,0.0,0.625,0.375,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,
富加町議会議員選挙（2015年04月26日投票）,富加町議会議員選挙,岐阜県,富加町,20150426.0,2015.0,4.0,26.0,20150421.0,72.64,8.0,10.0,1.25,,,,,任期満了,,,,,富加町議会議員選挙（2015年04月26日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.1,0.375,0.5,0.125,0.4581402533209762,0.4646555452579549,0.07720420142106889,0.09162805066419524,0.11616388631448872,0.07720420142106889,3237.0,1.0,61.1,9.481033698917013,37.0,58.25,61.5,66.5,73.0,59.875,9.623376486452143,37.0,58.0,61.5,65.5,71.0,,,,,,,,,3237.0,,,,,3237.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,,10.0,,,,,,,,,,,,,8.0,,,,
富加町議会議員選挙（2019年04月21日投票）,富加町議会議員選挙,岐阜県,富加町,20190421.0,2019.0,4.0,21.0,20190416.0,68.3,8.0,10.0,1.25,4603.0,,,,任期満了,72.64,,,,富加町議会議員選挙（2019年04月21日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,0.75,0.125,0.125,0.7454135002940135,0.11361445562100278,0.14097204408498362,0.1064876428991448,0.11361445562100278,0.07048602204249181,3106.9990000000003,1.0,64.0,8.888194417315589,41.0,62.25,64.0,68.5,77.0,62.0,8.514693182963201,41.0,62.0,63.5,65.25,71.0,,,,,,,,,3106.9990000000003,,,,,3106.9990000000003,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,,10.0,,,,,,,,,,,,,8.0,,,,
山県市議会議員補欠選挙（2007年04月22日投票）,山県市議会議員補欠選挙,岐阜県,山県市,20070422.0,2007.0,4.0,22.0,20070415.0,39.5,2.0,4.0,2.0,24813.0,,,,その他,,,,,山県市議会議員補欠選挙（2007年04月22日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,1.0,0.0,,,,,,,9521.0,0.0,58.5,7.762087348130012,49.0,52.0,58.5,65.0,68.0,56.5,7.5,49.0,52.75,56.5,60.25,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山県市議会議員補欠選挙（2015年04月26日投票）,山県市議会議員補欠選挙,岐阜県,山県市,20150426.0,2015.0,4.0,26.0,20150419.0,34.78,3.0,4.0,1.3333333333333333,23099.0,,,-1714.0,その他,39.5,,,,山県市議会議員補欠選挙（2015年04月26日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,7813.0,1.0,47.25,16.269219403523945,30.0,31.5,47.5,63.25,64.0,52.333333333333336,15.797327481430381,30.0,46.5,63.0,63.5,64.0,,,,,,,,,7813.0,,,,,7813.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.25,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,
