,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みどり京都,得票数_みんなの党,得票数_京都党,得票数_公明党,得票数_北近畿の明日をつくる会,得票数_向日市・生活者ネットワーク,得票数_国民新党,得票数_国民民主党,得票数_地域政党ふくちやま,得票数_地域政党京都久御山党,得票数_地域政党京都党,得票数_地域政党京都宇治党,得票数_宇治維新21（片岡維新）,得票数_宇治維新の会,得票数_市民ネットワーク・きょうと,得票数_幸福実現党,得票数_政事公団太平会,得票数_新社会党,得票数_日本共産党,得票数_日本第一党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みどり京都,得票率_みんなの党,得票率_京都党,得票率_公明党,得票率_北近畿の明日をつくる会,得票率_向日市・生活者ネットワーク,得票率_国民新党,得票率_国民民主党,得票率_地域政党ふくちやま,得票率_地域政党京都久御山党,得票率_地域政党京都党,得票率_地域政党京都宇治党,得票率_宇治維新21（片岡維新）,得票率_宇治維新の会,得票率_市民ネットワーク・きょうと,得票率_幸福実現党,得票率_政事公団太平会,得票率_新社会党,得票率_日本共産党,得票率_日本第一党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みどり京都,一人あたり得票率_みんなの党,一人あたり得票率_京都党,一人あたり得票率_公明党,一人あたり得票率_北近畿の明日をつくる会,一人あたり得票率_向日市・生活者ネットワーク,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党ふくちやま,一人あたり得票率_地域政党京都久御山党,一人あたり得票率_地域政党京都党,一人あたり得票率_地域政党京都宇治党,一人あたり得票率_宇治維新21（片岡維新）,一人あたり得票率_宇治維新の会,一人あたり得票率_市民ネットワーク・きょうと,一人あたり得票率_幸福実現党,一人あたり得票率_政事公団太平会,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みどり京都,立候補者数_みんなの党,立候補者数_京都党,立候補者数_公明党,立候補者数_北近畿の明日をつくる会,立候補者数_向日市・生活者ネットワーク,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党ふくちやま,立候補者数_地域政党京都久御山党,立候補者数_地域政党京都党,立候補者数_地域政党京都宇治党,立候補者数_宇治維新21（片岡維新）,立候補者数_宇治維新の会,立候補者数_市民ネットワーク・きょうと,立候補者数_幸福実現党,立候補者数_政事公団太平会,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みどり京都,当選者数_みんなの党,当選者数_京都党,当選者数_公明党,当選者数_北近畿の明日をつくる会,当選者数_向日市・生活者ネットワーク,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党ふくちやま,当選者数_地域政党京都久御山党,当選者数_地域政党京都党,当選者数_地域政党京都宇治党,当選者数_宇治維新21（片岡維新）,当選者数_宇治維新の会,当選者数_市民ネットワーク・きょうと,当選者数_幸福実現党,当選者数_政事公団太平会,当選者数_新社会党,当選者数_日本共産党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
京田辺市議会議員選挙（2003年04月27日投票）,京田辺市議会議員選挙,京都府,京田辺市,20030427.0,2003.0,4.0,27.0,20030420.0,57.88,21.0,22.0,1.0476190476190477,44664.0,,,3304.0,任期満了,64.3,,,,京田辺市議会議員選挙（2003年04月27日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,0.13636363636363635,0.14285714285714285,0.5909090909090909,0.2727272727272727,0.13636363636363635,0.6190476190476191,0.23809523809523808,0.14285714285714285,0.5895559657104188,0.30877283172266234,0.10167120256691892,0.045350458900801444,0.05146213862044372,0.03389040085563964,25209.99,4.0,58.04545454545455,9.469939390836442,34.0,54.25,58.5,64.0,74.0,58.23809523809524,9.65058479306164,34.0,55.0,59.0,64.0,74.0,,,,,2740.0,,,,,,,,,,,,,,,4723.1900000000005,,,2695.0,15051.799999999997,,,,,,25209.989999999998,,,,,0.1086870720694455,,,,,,,,,,,,,,,0.18735390216338843,,,0.10690206541137066,0.5970569603557954,,,,,,1.0,,,,,0.05434353603472275,,,,,,,,,,,,,,,0.03747078043267769,,,0.10690206541137066,0.04264692573969967,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,1.0,14.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,1.0,13.0,,,,,
京田辺市議会議員選挙（2007年04月22日投票）,京田辺市議会議員選挙,京都府,京田辺市,20070422.0,2007.0,4.0,22.0,20070415.0,60.69,21.0,29.0,1.380952380952381,47295.0,,,2631.0,任期満了,57.88,,,,京田辺市議会議員選挙（2007年04月22日投票）,1.0,29.0,21.0,1.380952380952381,0.0,0.0,0.0,0.1724137931034483,0.23809523809523808,0.5172413793103449,0.41379310344827586,0.06896551724137931,0.5714285714285714,0.38095238095238093,0.047619047619047616,0.49710458050531253,0.43647986922994925,0.06641555026473828,0.03314030536702083,0.0363733224358291,0.03320777513236914,28141.0,4.0,55.03448275862069,12.416570570510254,27.0,46.0,58.0,63.0,77.0,55.857142857142854,11.881501084762434,27.0,52.0,58.0,62.0,72.0,,,,,2847.0,,,,,,,,,,,,,,,4286.58,,,3291.0,17716.420000000002,,,,,,28141.0,,,,,0.1011691126825628,,,,,,,,,,,,,,,0.15232507728936426,,,0.1169468035961764,0.6295590064318966,,,,,,1.0,,,,,0.0505845563412814,,,,,,,,,,,,,,,0.030465015457872852,,,0.0584734017980882,0.031477950321594825,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,20.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,2.0,13.0,,,,,
京田辺市議会議員選挙（2011年04月24日投票）,京田辺市議会議員選挙,京都府,京田辺市,20110424.0,2011.0,4.0,24.0,20110417.0,52.36,21.0,26.0,1.238095238095238,48937.0,,,1642.0,任期満了,60.69,,,,京田辺市議会議員選挙（2011年04月24日投票）,1.0,26.0,21.0,1.2380952380952381,0.0,0.0,0.0,0.19230769230769232,0.23809523809523808,0.6923076923076923,0.19230769230769232,0.11538461538461539,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.7615437610109187,0.17126660774368424,0.06718963124539705,0.042307986722828816,0.03425332154873685,0.022396543748465683,25241.99,4.0,56.69230769230769,12.126795603028574,31.0,47.75,62.0,65.75,76.0,55.666666666666664,12.155082547890482,31.0,47.0,61.0,65.0,76.0,,,,,2903.0,,,,,,,,,,,,,,,4257.110000000001,,,2826.0,15255.880000000001,,,,,,25241.99,,,,,0.1150067803687427,,,,,,,,,,,,,,,0.16865191690512515,,,0.11195630772375711,0.604384995002375,,,,,,1.0,,,,,0.05750339018437135,,,,,,,,,,,,,,,0.033730383381025034,,,0.037318769241252374,0.037774062187648436,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,3.0,16.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,12.0,,,,,
京田辺市議会議員選挙（2015年04月26日投票）,京田辺市議会議員選挙,京都府,京田辺市,20150426.0,2015.0,4.0,26.0,20150419.0,無投票,20.0,20.0,1.0,,,,,任期満了,52.36,,,,京田辺市議会議員選挙（2015年04月26日投票）,1.0,20.0,20.0,1.0,1.0,1.0,0.0,0.2,0.2,0.85,0.15,0.0,0.85,0.15,0.0,,,,,,,0.0,4.0,57.3,10.895411878400926,35.0,50.75,60.0,66.25,70.0,57.3,10.895411878400926,35.0,50.75,60.0,66.25,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,11.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,2.0,11.0,,,,,
京田辺市議会議員選挙（2019年04月21日投票）,京田辺市議会議員選挙,京都府,京田辺市,20190421.0,2019.0,4.0,21.0,20190414.0,53.64,20.0,28.0,1.4,54704.0,,,,任期満了,,,,,京田辺市議会議員選挙（2019年04月21日投票）,1.0,28.0,20.0,1.4,0.0,0.0,0.0,0.21428571428571427,0.25,0.39285714285714285,0.6071428571428571,0.0,0.45,0.55,0.0,0.40448012149935914,0.5955198785006408,,0.036770920136305375,0.03503058108827299,,28678.999,6.0,54.142857142857146,11.571869480136133,28.0,47.0,56.0,64.0,71.0,52.55,12.183903315440416,28.0,43.5,55.0,63.25,69.0,,,,,2723.0,,,,1646.0,,,,,,,,,,,3908.085,,1403.0,,16013.914,,,,,2985.0,28678.999,,,,,0.09494752588819436,,,,0.05739391392286739,,,,,,,,,,,0.1362699235074418,,0.048920814844339584,,0.5583846911811671,,,,,0.10408313065598977,1.0,,,,,0.04747376294409718,,,,0.05739391392286739,,,,,,,,,,,0.02725398470148836,,0.048920814844339584,,0.03284615830477453,,,,,0.052041565327994886,,,,,2.0,,,,1.0,,,,,,,,,,,5.0,,1.0,,17.0,,,,,2.0,,,,,2.0,,,,1.0,,,,,,,,,,,3.0,,1.0,,11.0,,,,,2.0
京都市議会議員補欠選挙（2005年09月11日投票）,京都市議会議員補欠選挙,京都府,京都市,20050911.0,2005.0,9.0,11.0,20050902.0,65.95,1.0,3.0,3.0,64850.0,,,,その他,,,,,京都市議会議員補欠選挙（2005年09月11日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,40544.0,3.0,39.666666666666664,8.576453553512405,29.0,34.5,40.0,45.0,50.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,11759.0,,,,8905.0,,,,,19880.0,40544.0,,,,,,,,,,,,,,,,,,,,0.29003058405682713,,,,0.21963792423046566,,,,,0.4903314917127072,1.0,,,,,,,,,,,,,,,,,,,,0.29003058405682713,,,,0.21963792423046566,,,,,0.4903314917127072,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,1.0
京都市議会議員補欠選挙（2008年09月07日投票）,京都市議会議員補欠選挙,京都府,京都市,20080907.0,2008.0,9.0,7.0,20080829.0,27.02,1.0,3.0,3.0,75772.0,,,10922.0,その他,65.95,,,,京都市議会議員補欠選挙（2008年09月07日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,19793.0,3.0,54.0,7.2571803523590805,44.0,50.5,57.0,59.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,10441.0,,,,1157.0,,,,,8195.0,19793.0,,,,,,,,,,,,,,,,,,,,0.5275097256605871,,,,0.058455009346738744,,,,,0.4140352649926742,1.0,,,,,,,,,,,,,,,,,,,,0.5275097256605871,,,,0.058455009346738744,,,,,0.4140352649926742,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,0.0
京都市議会議員補欠選挙（2009年03月29日投票）,京都市議会議員補欠選挙,京都府,京都市,20090329.0,2009.0,3.0,29.0,20090320.0,29.23,1.0,4.0,4.0,61647.0,,,-14125.0,その他,27.02,,,,京都市議会議員補欠選挙（2009年03月29日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,17726.0,3.0,54.0,9.974968671630002,37.0,52.0,58.5,60.5,62.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,5481.0,,,4988.0,7257.0,,,,,,17726.0,,,,,,,,,,,,,,,,,,,,0.3092068148482455,,,0.2813945616608372,0.4093986234909173,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.3092068148482455,,,0.2813945616608372,0.20469931174545866,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,1.0,,,,,
京都市議会議員補欠選挙（2013年07月21日投票）,京都市議会議員補欠選挙,京都府,京都市,20130721.0,2013.0,7.0,21.0,20130712.0,52.15,1.0,5.0,5.0,84470.0,,,22823.0,その他,29.23,,,,京都市議会議員補欠選挙（2013年07月21日投票）,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.2,,42611.0,5.0,41.0,12.633289357883005,30.0,30.0,35.0,47.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,7204.0,,,,,,,,10412.0,,7171.0,5212.0,,,,,,12612.0,42611.0,,,,,,,,,,,,0.16906432611297553,,,,,,,,0.24435005045645491,,0.16828987820046468,0.12231583393959307,,,,,,0.2959799112905118,1.0,,,,,,,,,,,,0.16906432611297553,,,,,,,,0.24435005045645491,,0.16828987820046468,0.12231583393959307,,,,,,0.2959799112905118,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,1.0
京都市議会議員選挙（2003年04月13日投票）,京都市議会議員選挙,京都府,京都市,20030413.0,2003.0,4.0,13.0,20030404.0,44.12,0.0,89.0,,870853.0,,,,任期満了,,,,,京都市議会議員選挙（2003年04月13日投票）,11.0,89.0,69.0,1.289855072463768,0.16853932584269662,0.18181818181818182,0.18181818181818182,0.15730337078651685,0.18840579710144928,0.6404494382022472,0.3258426966292135,0.033707865168539325,0.7391304347826086,0.2318840579710145,0.028985507246376812,0.6824299348744691,0.28860795175019877,0.028962113375332076,0.015165109663877092,0.011100305836546106,0.009654037791777358,376043.0,7.0,51.58426966292135,11.514337900009561,25.0,45.0,53.0,60.0,78.0,51.79710144927536,11.322133908238538,25.0,45.0,53.0,60.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,32390.0,3371.0,,,2706.0,,38467.0,,,,,,,,,,,,,,,,,,,,,,,,0.8420204330985,0.08763355603504303,,,0.07034601086645696,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.08420204330985001,0.04381677801752151,,,0.07034601086645696,,,,,,12.0,,,,,,,,,,,,,,,25.0,,,12.0,10.0,2.0,,,1.0,27.0,,,,,12.0,,,,,,,,,,,,,,,20.0,,,10.0,3.0,0.0,,,0.0,24.0
京都市議会議員選挙（2007年04月08日投票）,京都市議会議員選挙,京都府,京都市,20070408.0,2007.0,4.0,8.0,20070330.0,44.49,0.0,91.0,,1137426.0,,,266573.0,任期満了,44.12,,,,京都市議会議員選挙（2007年04月08日投票）,11.0,91.0,69.0,1.318840579710145,0.04395604395604396,0.09090909090909091,0.09090909090909091,0.18681318681318682,0.2028985507246377,0.6153846153846154,0.3516483516483517,0.03296703296703297,0.7391304347826086,0.2318840579710145,0.028985507246376812,0.6581382828177502,0.3114480944669423,0.030413622715307467,0.012656505438802888,0.009732752952091948,0.010137874238435823,469921.0,8.0,48.37362637362637,12.47031495116633,25.0,39.0,51.0,57.0,79.0,50.26086956521739,11.179240820861354,27.0,43.0,51.0,57.0,79.0,,3633.0,,,,,,1019.0,,,,,,,,,,,,,,,107623.0,,2388.0,,,,,114663.0,,0.03168415269092907,,,,,,0.008886912081490977,,,,,,,,,,,,,,,0.9386026878766472,,0.020826247350932733,,,,,1.0,,0.015842076345464536,,,,,,0.008886912081490977,,,,,,,,,,,,,,,0.04940014146719196,,0.020826247350932733,,,,,,2.0,,,12.0,,,1.0,,,,,,,,,,,,23.0,,,19.0,8.0,1.0,,,,25.0,,0.0,,,12.0,,,0.0,,,,,,,,,,,,19.0,,,12.0,3.0,0.0,,,,23.0
京都市議会議員選挙（2011年04月10日投票）,京都市議会議員選挙,京都府,京都市,20110410.0,2011.0,4.0,10.0,20110401.0,42.9,69.0,98.0,1.420289855072464,1133007.0,,,-4419.0,任期満了,44.49,,,,京都市議会議員選挙（2011年04月10日投票）,11.0,98.0,69.0,1.4202898550724639,0.0,0.0,0.0,0.17346938775510204,0.2028985507246377,0.6224489795918368,0.35714285714285715,0.02040816326530612,0.7971014492753623,0.17391304347826086,0.028985507246376812,0.701107591422855,0.26149572085520045,0.03739668772194463,0.011493567072505819,0.007471306310148584,0.018698343860972313,477315.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京都市議会議員選挙（2015年04月12日投票）,京都市議会議員選挙,京都府,京都市,20150412.0,2015.0,4.0,12.0,20150403.0,40.95,67.0,94.0,1.4029850746268655,1131425.0,,,-1582.0,任期満了,42.9,,,,京都市議会議員選挙（2015年04月12日投票）,11.0,94.0,67.0,1.4029850746268657,0.0,0.0,0.0,0.18085106382978725,0.1791044776119403,0.5957446808510638,0.3723404255319149,0.031914893617021274,0.6716417910447762,0.31343283582089554,0.014925373134328358,0.6645690551733388,0.30699665569488327,0.028434289131777934,0.011867304556666763,0.008771333019853807,0.00947809637725931,454803.0,9.0,48.734042553191486,12.666907406002132,25.0,39.0,49.0,59.75,76.0,49.8955223880597,11.866338102000604,25.0,40.0,50.0,60.5,70.0,,,,41915.0,63744.0,,,,,,,,,,,4796.0,,,,112668.0,,,61588.0,13236.0,297.0,,21636.0,,134923.0,454803.0,,,,0.09216078170108816,0.14015738682462517,,,,,,,,,,,0.010545225075472238,,,,0.2477292366145342,,,0.13541687279987158,0.029102710404284932,0.0006530299932058496,,0.047572245565662495,,0.29666251102125535,1.0,,,,0.009216078170108815,0.012741580620420469,,,,,,,,,,,0.0035150750251574125,,,,0.01126041984611519,,,0.009672633771419399,0.007275677601071233,0.0006530299932058496,,0.0095144491131325,,0.012360937959218972,,,,10.0,11.0,,,,,,,,,,,3.0,,,,22.0,,,14.0,4.0,1.0,,5.0,,24.0,,,,5.0,11.0,,,,,,,,,,,0.0,,,,18.0,,,7.0,1.0,0.0,,4.0,,21.0
京都市議会議員選挙（2019年04月07日投票）,京都市議会議員選挙,京都府,京都市,20190407.0,2019.0,4.0,7.0,20190329.0,38.06,67.0,93.0,1.388059701492537,1153801.0,,,22376.0,任期満了,40.95,,,,京都市議会議員選挙（2019年04月07日投票）,11.0,93.0,67.0,1.3880597014925373,0.0,0.0,0.0,0.25806451612903225,0.22388059701492538,0.6344086021505376,0.3225806451612903,0.043010752688172046,0.8059701492537313,0.14925373134328357,0.04477611940298507,0.7353053592557882,0.2304254866100004,0.03426915413421137,0.012462802699250647,0.00768084955366668,0.008567288533552842,431670.999,10.0,49.82795698924731,11.65786794715993,26.0,40.0,52.0,57.0,72.0,51.0,11.443566921226834,29.0,42.0,52.0,59.0,72.0,,,,,59393.423,,,,35439.0,,,34877.0,,,,,752.0,,,98485.0,443.0,24690.0,,17959.0,,25294.0,,,134338.576,431670.999,,,,,0.13758956042353912,,,,0.08209724554602288,,,0.08079532811051779,,,,,0.001742067458184746,,,0.22814828938739987,0.0010262445265636203,0.057196337157688,,0.04160344345949448,,0.05859555091399596,,,0.3112059330165935,1.0,,,,,0.012508141856685374,,,,0.01026215569325286,,,0.01154218973007397,,,,,0.000871033729092373,,,0.01086420425654285,0.0010262445265636203,0.009532722859614666,,0.00693390724324908,,0.008370792987713708,,,0.012966913875691396,,,,,11.0,,,,8.0,,,7.0,,,,,2.0,,,21.0,1.0,6.0,,6.0,,7.0,,,24.0,,,,,10.0,,,,4.0,,,5.0,,,,,0.0,,,18.0,0.0,4.0,,2.0,,3.0,,,21.0
伊根町議会議員補欠選挙（2011年11月03日投票）,伊根町議会議員補欠選挙,京都府,伊根町,20111103.0,2011.0,11.0,3.0,20111029.0,80.26,2.0,3.0,1.5,2194.0,,,,その他,,,,,伊根町議会議員補欠選挙（2011年11月03日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,1729.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.0,,,,1238.0,,,,,,1729.0,,,,,,,,,,,,,,,,,,,,0.2839791787160208,,,,0.7160208212839791,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.2839791787160208,,,,0.3580104106419896,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,
伊根町議会議員選挙（2006年11月19日投票）,伊根町議会議員選挙,京都府,伊根町,20061119.0,2006.0,11.0,19.0,20061114.0,無投票,10.0,10.0,1.0,2408.0,,,,任期満了,,,,,伊根町議会議員選挙（2006年11月19日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.1,0.1,0.8,0.2,0.0,0.8,0.2,0.0,,,,,,,0.0,2.0,56.9,8.814193099768122,43.0,52.25,55.5,63.5,70.0,56.9,8.814193099768122,43.0,52.25,55.5,63.5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.0,,,,,
伊根町議会議員選挙（2010年11月14日投票）,伊根町議会議員選挙,京都府,伊根町,20101114.0,2010.0,11.0,14.0,20101109.0,84.33,10.0,11.0,1.1,2227.0,,,-181.0,任期満了,,,,,伊根町議会議員選挙（2010年11月14日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.7,0.3,0.0,0.6672025723472669,0.3327974276527331,,0.0953146531924667,0.08319935691318328,,1866.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,,1511.0,,,,,,1866.0,,,,,,,,,,,,,,,,,,,,0.1902465166130761,,,,0.8097534833869239,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.09512325830653805,,,,0.08997260926521376,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,8.0,,,,,
伊根町議会議員選挙（2014年11月16日投票）,伊根町議会議員選挙,京都府,伊根町,20141116.0,2014.0,11.0,16.0,20141111.0,無投票,10.0,9.0,0.9,,,,,任期満了,84.33,,,,伊根町議会議員選挙（2014年11月16日投票）,1.0,9.0,9.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,,,,,,,0.0,3.0,51.888888888888886,7.124986463058399,40.0,48.0,53.0,54.0,67.0,51.888888888888886,7.124986463058399,40.0,48.0,53.0,54.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,1.0
伊根町議会議員選挙（2018年11月18日投票）,伊根町議会議員選挙,京都府,伊根町,20181118.0,2018.0,11.0,18.0,20181113.0,無投票,9.0,9.0,1.0,,,,,任期満了,,,,,伊根町議会議員選挙（2018年11月18日投票）,1.0,9.0,9.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,,,,,,,0.0,3.0,53.77777777777778,6.214280646270917,44.0,49.0,55.0,57.0,64.0,53.77777777777778,6.214280646270917,44.0,49.0,55.0,57.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,1.0
八幡市議会議員補欠選挙（2004年02月15日投票）,八幡市議会議員補欠選挙,京都府,八幡市,20040215.0,2004.0,2.0,15.0,20040208.0,,1.0,4.0,4.0,58777.0,,,,任期満了,,,,,八幡市議会議員補欠選挙（2004年02月15日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,1.0,0.0,,0.8895063746322328,0.11049362536776725,,0.29650212487741096,0.11049362536776725,24472.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6743.0,,,,17729.0,,,,,,24472.0,,,,,,,,,,,,,,,,,,,,0.27553939195815624,,,,0.7244606080418438,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.27553939195815624,,,,0.24148686934728125,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,
八幡市議会議員補欠選挙（2016年02月14日投票）,八幡市議会議員補欠選挙,京都府,八幡市,20160214.0,2016.0,2.0,14.0,20160207.0,41.19,2.0,4.0,2.0,58519.0,,,-258.0,その他,,,,,八幡市議会議員補欠選挙（2016年02月14日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.25,0.0,0.5,0.5,,0.6839492553778268,0.3160507446221732,,0.22798308512594226,0.3160507446221732,23569.0,0.0,48.75,8.37779804005802,40.0,40.75,48.0,56.0,59.0,48.0,7.0,41.0,44.5,48.0,51.5,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
